epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,8354.09,0.77242,0.86142,1.16613,0.71274,0.4907,0.53152,0.43636,0.99976,1.49876,1.30867,0.00076757,0.00076757,0.00076757
111,8429.07,0.76715,0.85429,1.16161,0.72121,0.49973,0.53921,0.44044,0.99821,1.44951,1.31616,0.000759318,0.000759318,0.000759318
112,8504.21,0.76281,0.85265,1.16218,0.78818,0.45683,0.52086,0.43164,0.98633,1.49862,1.29797,0.000751067,0.000751067,0.000751067
113,8579.71,0.74645,0.81237,1.14936,0.71267,0.48166,0.54038,0.44292,0.98365,1.47022,1.3049,0.000742815,0.000742815,0.000742815
114,8655.29,0.76949,0.82899,1.1683,0.74227,0.48807,0.5424,0.43784,0.99937,1.49136,1.30874,0.000734564,0.000734564,0.000734564
115,8730.4,0.75818,0.82799,1.14967,0.68107,0.51202,0.54221,0.44361,0.99021,1.5001,1.2958,0.000726312,0.000726312,0.000726312
116,8805.8,0.74395,0.82006,1.14095,0.72422,0.51272,0.54528,0.44486,0.99771,1.46431,1.31221,0.00071806,0.00071806,0.00071806
117,8881.35,0.75278,0.81289,1.14481,0.70738,0.51316,0.54152,0.44104,1.01535,1.4577,1.3101,0.000709809,0.000709809,0.000709809
118,8956.11,0.74595,0.81861,1.14797,0.75848,0.46921,0.54257,0.43465,1.01679,1.50407,1.32307,0.000701557,0.000701557,0.000701557
119,9031.51,0.76074,0.83035,1.15667,0.73615,0.49044,0.55208,0.45164,0.98158,1.44842,1.28938,0.000693305,0.000693305,0.000693305
120,9106.89,0.74909,0.81257,1.15285,0.78555,0.47183,0.53383,0.43225,1.01969,1.46158,1.31644,0.000685054,0.000685054,0.000685054
121,9181.98,0.74392,0.79601,1.14376,0.74389,0.46359,0.52072,0.42021,1.02862,1.53789,1.33616,0.000676802,0.000676802,0.000676802
122,9257.09,0.7396,0.79395,1.13727,0.75902,0.47815,0.54419,0.44687,0.96918,1.44402,1.27264,0.00066855,0.00066855,0.00066855
123,9332.48,0.73781,0.80039,1.14013,0.74242,0.4907,0.54376,0.43826,1.01114,1.47967,1.30908,0.000660299,0.000660299,0.000660299
124,9407.1,0.72007,0.75871,1.12612,0.70669,0.51079,0.53512,0.44416,1.00219,1.47744,1.30501,0.000652047,0.000652047,0.000652047
125,9481.6,0.72832,0.77762,1.12831,0.71813,0.50422,0.54553,0.44828,0.99385,1.48175,1.29868,0.000643795,0.000643795,0.000643795
126,9556.29,0.7335,0.79443,1.13752,0.74037,0.49579,0.53514,0.44369,1.0053,1.49777,1.32095,0.000635544,0.000635544,0.000635544
127,9632.22,0.73222,0.7805,1.13706,0.74792,0.49363,0.54297,0.44387,1.01811,1.51703,1.33773,0.000627292,0.000627292,0.000627292
128,9707.05,0.72283,0.76983,1.12318,0.74315,0.48141,0.53304,0.43591,1.02726,1.53887,1.34447,0.00061904,0.00061904,0.00061904
129,9781.27,0.7208,0.7723,1.13016,0.72883,0.4776,0.52547,0.43131,1.01065,1.52351,1.32406,0.000610789,0.000610789,0.000610789
130,9856.28,0.72029,0.76981,1.13464,0.79528,0.47341,0.53667,0.4413,1.01252,1.47243,1.33534,0.000602537,0.000602537,0.000602537
131,9931.68,0.72886,0.76767,1.1371,0.74275,0.48431,0.52763,0.43661,1.0035,1.52726,1.32937,0.000594286,0.000594286,0.000594286
132,10006.8,0.72488,0.76795,1.13722,0.72521,0.4831,0.54274,0.44394,1.0089,1.509,1.34025,0.000586034,0.000586034,0.000586034
133,10082.2,0.71264,0.75336,1.12563,0.72388,0.49424,0.53562,0.43755,1.0473,1.57252,1.35933,0.000577782,0.000577782,0.000577782
134,10157.7,0.70532,0.73963,1.12191,0.76948,0.47332,0.53534,0.4394,0.98699,1.5452,1.31384,0.000569531,0.000569531,0.000569531
135,10232.8,0.69983,0.73929,1.11914,0.76663,0.48087,0.54203,0.44496,0.98827,1.52449,1.32743,0.000561279,0.000561279,0.000561279
136,10307.2,0.69468,0.72411,1.10521,0.73333,0.47262,0.52947,0.43959,1.0037,1.56232,1.32352,0.000553027,0.000553027,0.000553027
137,10381.7,0.72315,0.72865,1.12193,0.77227,0.46112,0.52293,0.43498,1.01586,1.5676,1.33834,0.000544776,0.000544776,0.000544776
138,10455.9,0.69876,0.73046,1.11331,0.7481,0.4742,0.52982,0.43568,1.01779,1.54018,1.34103,0.000536524,0.000536524,0.000536524
139,10530.5,0.70718,0.73626,1.12144,0.76752,0.46719,0.53348,0.43486,1.02027,1.57527,1.31997,0.000528272,0.000528272,0.000528272
140,10605,0.69244,0.72334,1.10832,0.70751,0.49952,0.52737,0.43768,0.99316,1.5755,1.32349,0.000520021,0.000520021,0.000520021
141,10679.3,0.69402,0.70982,1.10683,0.7493,0.48096,0.53129,0.43784,1.03203,1.55216,1.36661,0.000511769,0.000511769,0.000511769
142,10753.5,0.7018,0.70866,1.10755,0.75378,0.47223,0.53311,0.43979,1.01396,1.60125,1.34312,0.000503517,0.000503517,0.000503517
143,10827.9,0.69299,0.70958,1.10965,0.77562,0.47099,0.54038,0.44117,1.02054,1.50937,1.33553,0.000495266,0.000495266,0.000495266
144,10902.5,0.68541,0.69272,1.09804,0.76732,0.47881,0.53808,0.4445,0.99274,1.53973,1.33601,0.000487014,0.000487014,0.000487014
145,10977.9,0.68806,0.704,1.1067,0.77877,0.46542,0.52598,0.43568,1.00689,1.58399,1.331,0.000478762,0.000478762,0.000478762
146,11052.6,0.66832,0.67409,1.08929,0.76134,0.46505,0.52846,0.43664,1.00347,1.5688,1.32649,0.000470511,0.000470511,0.000470511
147,11127.4,0.67346,0.67937,1.09501,0.74734,0.48403,0.5348,0.44379,0.98946,1.54363,1.30832,0.000462259,0.000462259,0.000462259
148,11202.4,0.67975,0.68575,1.09548,0.79051,0.46523,0.52173,0.43118,1.02586,1.61107,1.33729,0.000454007,0.000454007,0.000454007
149,11277,0.6798,0.68805,1.09838,0.78985,0.46248,0.51723,0.4345,1.00101,1.62291,1.32803,0.000445756,0.000445756,0.000445756
150,11351.8,0.69372,0.69118,1.10179,0.76507,0.49386,0.54517,0.45145,0.99856,1.53275,1.33602,0.000437504,0.000437504,0.000437504
151,11426.7,0.66562,0.66027,1.08877,0.7842,0.46585,0.53037,0.43631,1.02437,1.58777,1.35562,0.000429253,0.000429253,0.000429253
152,11501.2,0.67558,0.67822,1.09904,0.74611,0.47332,0.52683,0.44023,1.00931,1.61985,1.34366,0.000421001,0.000421001,0.000421001
153,11577.4,0.6725,0.67553,1.0934,0.74782,0.48473,0.53418,0.43995,1.00422,1.56863,1.33813,0.000412749,0.000412749,0.000412749
154,11653.1,0.66071,0.6634,1.08185,0.75397,0.47235,0.53153,0.44082,1.01899,1.57698,1.35164,0.000404498,0.000404498,0.000404498
155,11729.3,0.6598,0.65508,1.08258,0.73546,0.48827,0.54152,0.44432,1.0192,1.61116,1.34062,0.000396246,0.000396246,0.000396246
156,11804.7,0.67075,0.66382,1.0863,0.77737,0.46122,0.53093,0.43797,1.02455,1.58793,1.34815,0.000387994,0.000387994,0.000387994
157,11879.7,0.66181,0.65582,1.08643,0.7137,0.49228,0.53479,0.44352,1.01097,1.57042,1.34459,0.000379743,0.000379743,0.000379743
158,11954.3,0.66297,0.6504,1.08742,0.76874,0.46631,0.52651,0.43824,1.01089,1.63612,1.36601,0.000371491,0.000371491,0.000371491
159,12029.2,0.65554,0.64298,1.07874,0.77062,0.47446,0.52775,0.44064,1.01152,1.58677,1.36136,0.000363239,0.000363239,0.000363239
